"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 26 11:00:50 BRT 2021","Wed May 26 11:00:58 BRT 2021","8000","","Artigos","","","","Criar um novo artigo",""
"passed","Wed May 26 11:01:00 BRT 2021","Wed May 26 11:01:04 BRT 2021","3683","","Autenticação","","","","Efetuar login com usuário e senha válidos",""
